MMEID,Ex_Name,Series_Name,gwcode,country,year,Location,lat,lon,StartDate,s.year,s.month,s.day,EndDate,e.year,e.month,e.day,CPX,Air,Land,Sea,Amphibious,Cyber,Warfighting,Peacekeeping,Humanitarian,FocusDescription,AdditionalParticipantInfo,participant_count
mme101,Maple Flag 80,Maple Flag,2,United States,1980,western Canada,49.2053121,-122.6919951,5/1/80,1980,5,1,5/1/80,1980,5,1,0,1,0,0,0,0,1,0,0,a joint exercise,NA,3
mme1010,-9,NA,770,Pakistan,1992,Open Sea near Karachi,24.8096498,67.01146,8/25/92,1992,8,25,8/25/92,1992,8,25,0,0,0,1,0,0,1,0,0,"transfer of personnel and stores from one ship to another, while they were under way, and vertical replenishment from ai",NA,2
mme1010,-9,NA,200,United Kingdom,1992,Open Sea near Karachi,24.8096498,67.01146,8/25/92,1992,8,25,8/25/92,1992,8,25,0,0,0,1,0,0,1,0,0,"transfer of personnel and stores from one ship to another, while they were under way, and vertical replenishment from ai",NA,2
mme1011,Coronet Dragoon,NA,NA,-9,1992,Denmark,56.26392,9.501785,1992-08-xx,1992,8,xx,8/15/92,1992,8,15,0,1,0,0,0,0,1,0,0,an eight-ship formation flying to NATO exercises,NATO,2
mme1011,Coronet Dragoon,NA,2,United States,1992,Denmark,56.26392,9.501785,1992-08-xx,1992,8,xx,8/15/92,1992,8,15,0,1,0,0,0,0,1,0,0,an eight-ship formation flying to NATO exercises,NATO,2
mme1012,Eager Mace 92-3,Eager Mace,690,Kuwait,1992,Kuwait,29.31166,47.481766,8/4/92,1992,8,4,8/15/92,1992,8,15,0,0,1,0,1,0,1,0,0,commando-style boat raids. parachuting and helicopter attacks.,NA,2
mme1012,Eager Mace 92-3,Eager Mace,2,United States,1992,Kuwait,29.31166,47.481766,8/4/92,1992,8,4,8/15/92,1992,8,15,0,0,1,0,1,0,1,0,0,commando-style boat raids. parachuting and helicopter attacks.,NA,2
mme1013,medflag-a,Medflag,2,United States,1992,"Zambia,  lusaka international airport",-15.3251046,28.4460157,8/24/92,1992,8,24,1992-09-xx,1992,9,xx,0,0,1,0,0,0,0,0,1,respond rapidly to disaster situation that may occur in both military or civilan settings,NA,2
mme1013,medflag-a,Medflag,551,Zambia,1992,"Zambia,  lusaka international airport",-15.3251046,28.4460157,8/24/92,1992,8,24,1992-09-xx,1992,9,xx,0,0,1,0,0,0,0,0,1,respond rapidly to disaster situation that may occur in both military or civilan settings,NA,2
mme1014,native fury,Native Fury,690,Kuwait,1992,Kuwait,29.31166,47.481766,8/13/92,1992,8,13,8/19/92,1992,8,19,0,0,0,0,0,0,1,0,0,exercises with live ammunition,NA,2
mme1014,native fury,Native Fury,2,United States,1992,Kuwait,29.31166,47.481766,8/13/92,1992,8,13,8/19/92,1992,8,19,0,0,0,0,0,0,1,0,0,exercises with live ammunition,NA,2
mme1015,Solidarity 3,Solidarity,692,Bahrain,1992,Along the eastern coast of Saudi Arabia,26.58658,49.9009928,8/15/92,1992,8,15,8/26/92,1992,8,26,0,0,0,1,0,0,1,0,0,"were planned by defense ministers of the alliance.  the alliance has a 10,000-strong joint air, land and sea force called peninsula shield.",NA,6
mme1015,Solidarity 3,Solidarity,690,Kuwait,1992,Along the eastern coast of Saudi Arabia,26.58658,49.9009928,8/15/92,1992,8,15,8/26/92,1992,8,26,0,0,0,1,0,0,1,0,0,"were planned by defense ministers of the alliance.  the alliance has a 10,000-strong joint air, land and sea force called peninsula shield.",NA,6
mme1015,Solidarity 3,Solidarity,698,Oman,1992,Along the eastern coast of Saudi Arabia,26.58658,49.9009928,8/15/92,1992,8,15,8/26/92,1992,8,26,0,0,0,1,0,0,1,0,0,"were planned by defense ministers of the alliance.  the alliance has a 10,000-strong joint air, land and sea force called peninsula shield.",NA,6
mme1015,Solidarity 3,Solidarity,694,Qatar,1992,Along the eastern coast of Saudi Arabia,26.58658,49.9009928,8/15/92,1992,8,15,8/26/92,1992,8,26,0,0,0,1,0,0,1,0,0,"were planned by defense ministers of the alliance.  the alliance has a 10,000-strong joint air, land and sea force called peninsula shield.",NA,6
mme1015,Solidarity 3,Solidarity,670,Saudi Arabia,1992,Along the eastern coast of Saudi Arabia,26.58658,49.9009928,8/15/92,1992,8,15,8/26/92,1992,8,26,0,0,0,1,0,0,1,0,0,"were planned by defense ministers of the alliance.  the alliance has a 10,000-strong joint air, land and sea force called peninsula shield.",NA,6
mme1015,Solidarity 3,Solidarity,696,United Arab Emirates,1992,Along the eastern coast of Saudi Arabia,26.58658,49.9009928,8/15/92,1992,8,15,8/26/92,1992,8,26,0,0,0,1,0,0,1,0,0,"were planned by defense ministers of the alliance.  the alliance has a 10,000-strong joint air, land and sea force called peninsula shield.",NA,6
mme1016,Ulchi Focus Lens,UFL,732,South Korea,1992,South Korea,35.907757,127.766922,8/19/92,1992,8,19,9/5/92,1992,9,5,0,1,1,1,1,0,1,0,0,"14,000 u.s. soldiers and tens of thousands of south korean troops, among whom four thousand of the u.s. soldiers are to come from the united states expressly for the exercises.",NA,2
mme1016,Ulchi Focus Lens,UFL,2,United States,1992,South Korea,35.907757,127.766922,8/19/92,1992,8,19,9/5/92,1992,9,5,0,1,1,1,1,0,1,0,0,"14,000 u.s. soldiers and tens of thousands of south korean troops, among whom four thousand of the u.s. soldiers are to come from the united states expressly for the exercises.",NA,2
mme1017,Unitas 92,Unitas,155,Chile,1992,"Off Southern Chile, Port of Punta Arenas",-53.1638329,-70.9170683,8/28/92,1992,8,28,1992-09-xx,1992,9,xx,0,0,0,1,0,0,1,0,0,to come up with the best way to combine the operations of the two navies.,NA,2
mme1017,Unitas 92,Unitas,2,United States,1992,"Off Southern Chile, Port of Punta Arenas",-53.1638329,-70.9170683,8/28/92,1992,8,28,1992-09-xx,1992,9,xx,0,0,0,1,0,0,1,0,0,to come up with the best way to combine the operations of the two navies.,NA,2
mme1018,Display Determination 92,Display Determination,220,France,1992,"international waters of the aegean, somewhere off the port of izmir",38.423734,27.142826,9/25/92,1992,9,25,10/10/92,1992,10,10,0,1,0,1,0,0,1,0,0,nato naval exercise,NA,4
mme1018,Display Determination 92,Display Determination,325,Italy,1992,"international waters of the aegean, somewhere off the port of izmir",38.423734,27.142826,9/25/92,1992,9,25,10/10/92,1992,10,10,0,1,0,1,0,0,1,0,0,nato naval exercise,NA,4
mme1018,Display Determination 92,Display Determination,640,Turkey,1992,"international waters of the aegean, somewhere off the port of izmir",38.423734,27.142826,9/25/92,1992,9,25,10/10/92,1992,10,10,0,1,0,1,0,0,1,0,0,nato naval exercise,NA,4
mme1018,Display Determination 92,Display Determination,2,United States,1992,"international waters of the aegean, somewhere off the port of izmir",38.423734,27.142826,9/25/92,1992,9,25,10/10/92,1992,10,10,0,1,0,1,0,0,1,0,0,nato naval exercise,NA,4
mme1019,eager tiger,Eager Tiger,663,Jordan,1992,"Jordan, al-jafr, a desert area southeast of amman",30.3174153,36.1751703,9/14/92,1992,9,14,9/20/92,1992,9,20,0,1,0,0,0,0,1,0,0,improving the air defense system as part of a program that was revived after a two-year suspension.,NA,2
mme1019,eager tiger,Eager Tiger,2,United States,1992,"Jordan, al-jafr, a desert area southeast of amman",30.3174153,36.1751703,9/14/92,1992,9,14,9/20/92,1992,9,20,0,1,0,0,0,0,1,0,0,improving the air defense system as part of a program that was revived after a two-year suspension.,NA,2
mme102,Spring 80,NA,265,German Democratic Republic,1980,"Poland, Northern and Western Poland",51.919438,19.145136,5/26/80,1980,5,26,6/4/80,1980,6,4,0,0,0,0,0,0,1,0,0,"to increase the organizational and commanding capability of the high command in war,",NA,3
mme102,Spring 80,NA,290,Poland,1980,"Poland, Northern and Western Poland",51.919438,19.145136,5/26/80,1980,5,26,6/4/80,1980,6,4,0,0,0,0,0,0,1,0,0,"to increase the organizational and commanding capability of the high command in war,",NA,3
mme102,Spring 80,NA,365,Russia,1980,"Poland, Northern and Western Poland",51.919438,19.145136,5/26/80,1980,5,26,6/4/80,1980,6,4,0,0,0,0,0,0,1,0,0,"to increase the organizational and commanding capability of the high command in war,",NA,3
mme1020,Intrinsic Action,Intrinsic Action,690,Kuwait,1992,"Kuwait, 25 miles from the Iraqi Border",29.31166,47.481766,9/15/92,1992,9,15,1992-10-xx,1992,10,xx,0,0,1,1,0,0,1,0,0,to train Kuwaitis and reinforce the U.S. commitment to defend the emirate,NA,2
mme1020,Intrinsic Action,Intrinsic Action,2,United States,1992,"Kuwait, 25 miles from the Iraqi Border",29.31166,47.481766,9/15/92,1992,9,15,1992-10-xx,1992,10,xx,0,0,1,1,0,0,1,0,0,to train Kuwaitis and reinforce the U.S. commitment to defend the emirate,NA,2
mme1021,Keris Kartika Malindo,NA,850,Indonesia,1992,"Indonesia, between ngabang, sosok, and sanggau, some 300km east of pontianak, west kalimantan",0.291229,110.238899,9/12/92,1992,9,12,9/15/92,1992,9,15,0,0,1,0,0,0,1,0,0,promoting the technical and operational capabilities and cooperation between the land forces of the two countries,NA,2
mme1021,Keris Kartika Malindo,NA,820,Malaysia,1992,"Indonesia, between ngabang, sosok, and sanggau, some 300km east of pontianak, west kalimantan",0.291229,110.238899,9/12/92,1992,9,12,9/15/92,1992,9,15,0,0,1,0,0,0,1,0,0,promoting the technical and operational capabilities and cooperation between the land forces of the two countries,NA,2
mme1022,Major Adex 92-4,Major Adex,900,Australia,1992,malaysia and singapore,4.210484,101.975766,9/22/92,1992,9,22,9/24/92,1992,9,24,0,1,0,0,0,0,1,0,0,major air defense exercise,NA,5
mme1022,Major Adex 92-4,Major Adex,820,Malaysia,1992,malaysia and singapore,4.210484,101.975766,9/22/92,1992,9,22,9/24/92,1992,9,24,0,1,0,0,0,0,1,0,0,major air defense exercise,NA,5
mme1022,Major Adex 92-4,Major Adex,920,New Zealand,1992,malaysia and singapore,4.210484,101.975766,9/22/92,1992,9,22,9/24/92,1992,9,24,0,1,0,0,0,0,1,0,0,major air defense exercise,NA,5
mme1022,Major Adex 92-4,Major Adex,830,Singapore,1992,malaysia and singapore,4.210484,101.975766,9/22/92,1992,9,22,9/24/92,1992,9,24,0,1,0,0,0,0,1,0,0,major air defense exercise,NA,5
mme1022,Major Adex 92-4,Major Adex,200,United Kingdom,1992,malaysia and singapore,4.210484,101.975766,9/22/92,1992,9,22,9/24/92,1992,9,24,0,1,0,0,0,0,1,0,0,major air defense exercise,NA,5
mme1023,Reforger 92,Reforger,NA,-9,1992,"Europe, Belgium, Luxembourg, and Germany",50.8503396,4.3517103,9/17/92,1992,9,17,11/15/92,1992,11,15,0,0,1,0,0,0,1,0,0,to raise nato forces' strategical mobility,NATO countries,1
mme1024,Starfish,Starfish,900,Australia,1992,"South China Sea, tionman island of singapore",2.7902494,104.1698463,9/7/92,1992,9,7,9/19/92,1992,9,19,0,1,0,1,0,0,1,0,0,to have lent substance to the fpda's objectives of promoting regional stability,NA,5
mme1024,Starfish,Starfish,820,Malaysia,1992,"South China Sea, tionman island of singapore",2.7902494,104.1698463,9/7/92,1992,9,7,9/19/92,1992,9,19,0,1,0,1,0,0,1,0,0,to have lent substance to the fpda's objectives of promoting regional stability,NA,5
