countryname,ccode,iso3c,basename,lat,lon,base,lilypad,fundedsite
Japan,740,JPN,"Camp Gonsalves, Henoko",26.523196,128.03242,1,0,0
Japan,740,JPN,"Camp Kinser, Makiminato",26.265937,127.72383,1,0,0
Japan,740,JPN,"Camp Lester, Chatan",26.320119,127.76378,1,0,0
Japan,740,JPN,"Camp Schwab, Henoko",26.523196,128.03242,1,0,0
Japan,740,JPN,Chitose Administration Annex,42.820958,141.65088,1,0,0
Japan,740,JPN,"Itazuke Auxiliary Airfield, Fukuoka",33.590355,130.40172,1,0,0
Japan,740,JPN,"Yokota Air Force Base, Fussa",35.738451,139.32693,1,0,0
Japan,740,JPN,"Camp Fuji, Gotemba",35.308584,138.93451,1,0,0
Japan,740,JPN,"POL dept, Hachinohe",40.512284,141.4884,1,0,0
Japan,740,JPN,Higashi-Hiroshima,34.39548,132.48243,1,0,0
Japan,740,JPN,"Housing area, Ikego",35.303808,139.59786,1,0,0
Japan,740,JPN,MCAS Iwakuni,34.166562,132.21885,1,0,0
Japan,740,JPN,Iwo Jima,24.774024,141.32728,1,0,0
Japan,740,JPN,"Naval Suuport Facility, Kami Seya",35.638138,135.18724,1,0,0
Japan,740,JPN,Kisarazu-JGSDF,35.375974,139.91683,1,0,0
Japan,740,JPN,Koza,35.374167,139.39083,1,0,0
Japan,740,JPN,Kure,34.249254,132.56581,1,0,0
Japan,740,JPN,MCAS Futemma,26.273435,127.75666,1,0,0
Japan,740,JPN,Misawa AFB,40.683134,141.36898,1,0,0
Japan,740,JPN,Naha Port,26.22853,127.68911,1,0,0
Japan,740,JPN,Okuma,26.25578,127.78181,1,0,0
Japan,740,JPN,"Camp Hansen, Onna",26.4975,127.85356,1,0,0
Japan,740,JPN,"Communications Station, Owada",35.815464,139.55704,1,0,0
Japan,740,JPN,"Camp Zama, Sagamihara",35.571462,139.37318,1,0,0
Japan,740,JPN,"Sobe Communications Site, Okinawa",26.38739,127.73654,1,0,0
Japan,740,JPN,Tana,35.558519,139.33794,1,0,0
Japan,740,JPN,"Camp Courtney, Tengan",26.388406,127.85693,1,0,0
Japan,740,JPN,"Camp McTureous, Tengan",26.388406,127.85693,1,0,0
Japan,740,JPN,"Tokorozawa Transmitter Sit , Tokorosana",35.799672,139.46861,1,0,0
Japan,740,JPN,Totsuka,36.893331,140.41802,1,0,0
Japan,740,JPN,Waco City,35.781208,139.60579,1,0,0
Japan,740,JPN,Yokohama,35.443708,139.63803,1,0,0
Japan,740,JPN,COMFLEACT Yokosuka,35.281341,139.6722,1,0,0
Japan,740,JPN,"Camp Zama, Zama",35.488587,139.40767,1,0,0
Japan,740,JPN,"Camp Foster, Zukeran",26.30762,127.77849,1,0,0
Johnston Atoll,2,USA,Johnston Atoll Airfield,16.734591000000002,-169.526091,1,0,0
Jordan,663,JOR,"Muwaffaq Salti Air Base, Azraq",31.834167,36.787222,0,1,0
Jordan,663,JOR,King Abdullah Sp Ops Trng Ctr Amman,32.032,35.975,0,0,1
Kenya,501,KEN,Garissa,-0.456944,39.658333,0,1,0
Kenya,501,KEN,"Manda Bay, Lamu",-2.280262,40.891285,0,1,0
Kenya,501,KEN,Mombasa	Kenya,-4.043477,39.668207,1,0,0
"Korea, South",732,KOR,"Camp Humphreys (High Point), Chechon",36.963982,127.039003,1,0,0
"Korea, South",732,KOR,Chinhae Fleet Activities,35.133025,128.71004,1,0,0
"Korea, South",732,KOR,"Camp Market, Inchon",37.456256,126.70521,1,0,0
"Korea, South",732,KOR,Kimhae Storage Annex,35.228545,128.88935,1,0,0
"Korea, South",732,KOR,Kunsan AB,35.967677,126.73663,1,0,0
"Korea, South",732,KOR,Kwangju AB,35.159545,126.8526,1,0,0
"Korea, South",732,KOR,Masan Ammunition Depot,35.213516,128.58143,1,0,0
"Korea, South",732,KOR,Osan	South Korea,37.14981,127.07722,1,0,0
"Korea, South",732,KOR,Paju	South Korea,37.759869,126.78018,1,0,0
"Korea, South",732,KOR,Pochon	South Korea,37.894915,127.20036,1,0,0
"Korea, South",732,KOR,Munsan	South Korea,37.889992,126.6987,1,0,0
"Korea, South",732,KOR,Osan AFB,37.14981,127.07722,1,0,0
"Korea, South",732,KOR,"Camp Red Cloud (Bullseye 02), Paju",37.759869,126.78018,1,0,0
"Korea, South",732,KOR,Pochon,37.894915,127.20036,0,1,0
"Korea, South",732,KOR,Pohang	(Camp Mujuk),36.019018,129.34348,1,0,0
"Korea, South",732,KOR,Pusan,35.179554,129.07564,1,0,0
"Korea, South",732,KOR,"Camp Humprehys, Pyeongtaek",36.992108,127.11294,1,0,0
"Korea, South",732,KOR,"Tongsan Garrisoin, Seoul",37.566535,126.97797,1,0,0
"Korea, South",732,KOR,"K 16 AB, Songnam",37.444917,127.13887,1,0,0
"Korea, South",732,KOR,"Suwon AB, Suwon",37.263573,127.0286,1,0,0
"Korea, South",732,KOR,"Camp Henry, Camp Walker, Teagu AB",35.871435,128.60145,1,0,0
